#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,eFG%,TS%
599,Gary Trent Jr.,8,29.4,10.1,3.4,9.8,34.6,2,5.1,39,1.4,1.8,78.6,0.6,1.5,2.1,0.6,0.8,0.3,0.8,44.9,48.1
600,O.J. Mayo,26,26.2,10.1,3.3,9.6,34.8,1.3,3.5,35.9,2.2,2.6,82.4,0.5,2.8,3.3,2.5,1,0.2,1.7,41.4,47
601,Wayne Embry,56,24.1,10.1,3.8,9.2,41.8,-,-,-,2.4,3.8,64.5,-,-,8,1.1,-,-,-,41.8,46.6
602,Matt Maloney,21,32.9,10.1,3.4,8.7,38.8,2.3,6.1,37.5,1,1.4,73.3,0,1.2,1.3,3.2,0.6,0.2,2,51.9,54
603,Horace McKinney,23,6.7,10.1,3.6,11.7,30.6,-,-,-,3,4.2,70.8,-,-,3.2,1.1,-,-,-,30.6,37.4
604,Johnny Egan,42,22.5,10.1,3.9,8.8,44.7,-,-,-,2.2,2.8,79.5,-,-,1.6,3.1,-,-,-,44.7,50.3
605,George Senesky,32,40,10.1,3.9,12.2,32,-,-,-,2.3,3.2,69.9,-,-,3.8,1.6,-,-,-,32,36.9
606,Fred VanVleet,51,25.3,10.1,3.5,8.9,39.2,2,5.4,37.2,1.1,1.4,81.4,0.2,1.9,2.1,3.5,0.9,0.3,1,50.4,53.1
607,Damon Stoudamire,53,28.2,10.1,3.7,9.2,39.9,0.9,2.4,38.9,1.8,2.1,84.7,0.6,2.4,3,4.4,0.6,0.2,1.9,44.9,49.5
608,Slater Martin,92,39.4,10,3.3,9.4,35.1,-,-,-,3.4,4.8,71.5,-,-,3.4,3.8,-,-,-,35.1,43.5
609,Keith Erickson,87,27.5,10,4.2,9.3,45.2,-,-,-,1.7,2.2,76.2,0.8,2.7,4.4,2.5,0.6,0.2,-,45.2,49
610,Jack Coleman,63,33.5,10,4,10.3,38.5,-,-,-,2.1,3.3,64.6,-,-,10.2,3.4,-,-,-,38.5,42.8
611,Will Barton,27,21.9,10,3.8,9.6,39.9,1.3,3.9,33.7,1.1,1.4,76.3,0.9,3.2,4.1,1.7,0.3,0.5,1.1,46.7,49.1
611,Winston Bennett,5,27,10,4.6,9.4,48.9,0,0,0,0.8,1.2,66.7,2.8,1.4,4.2,1,0.6,0.2,0.8,48.9,50.4
611,Alec Burks,22,18.5,10,3.5,9,39.1,0.9,2.8,32.3,2.1,2.6,80.7,0.9,2.5,3.4,1.8,0.4,0.2,0.8,44.2,49.5
611,Walter Devlin,11,27.3,10,4.3,9.9,43.1,-,-,-,1.5,2.4,61.5,-,-,2.4,2.5,-,-,-,43.1,45.7
611,Ernie DiGregorio,15,30.5,10,4.5,9.9,45.3,-,-,-,1.1,1.1,94.1,0.3,1.7,1.9,6.5,0.4,0.1,-,45.3,48.2
611,Johnny Macknowski,13,-,10,3.5,8.7,39.8,-,-,-,3.1,4.2,74.1,-,-,3.5,1.9,-,-,-,39.8,47.5
611,James Owens,8,-,10,3.3,0,0,-,-,-,3.5,5.1,68.3,-,-,-,0,-,-,-,0,221.7
611,Rony Seikaly,14,28.9,10,3.4,7,48,0,0,0,3.3,4.9,67.6,2.7,4.6,7.3,0.9,0.5,1.1,2,48,54.7
619,Freddie Scolari,41,21,10,3.3,10.8,30.2,-,-,-,3.4,4.3,79.2,-,-,3.3,1.7,-,-,-,30.2,39.2
620,Ernie Vandeweghe,43,30.2,10,3.4,8.1,42.1,-,-,-,3.2,4,78.2,-,-,5.1,2.1,-,-,-,42.1,50.5
621,Carl Landry,37,21.8,9.9,3.6,7.1,50.4,0,0.1,0,2.8,3.7,74.5,1.7,2.9,4.6,0.7,0.6,0.4,1.3,50.4,56.7
622,Tom Owens,16,23.4,9.9,4.2,7.9,52.8,0,0,0,1.6,2.3,67.6,2.2,2.9,5.1,2.1,0.7,0.6,1.5,52.8,55.5
623,Kevin Willis,98,24.3,9.9,4.1,8.4,48.4,0,0.1,21.4,1.7,2.5,69.2,2.4,4.1,6.5,0.6,0.6,0.4,1.3,48.5,52.1
624,Bryon Russell,105,29.3,9.9,3.4,7.7,44,1.2,3.3,36.5,1.9,2.5,75.9,0.8,3.4,4.2,1.3,1,0.3,0.8,51.9,56.2
625,Dick Van Arsdale,34,28.5,9.9,3.6,8.6,42.2,-,-,-,2.6,3.1,83.8,0.5,0.7,2.4,2.8,0.7,0.1,-,42.2,49.4
626,Danny Ainge,193,26.1,9.9,3.7,8.1,45.6,0.9,2.2,39.7,1.5,1.8,82.9,0.6,1.7,2.3,3.4,0.9,0.1,1.3,51.1,55
627,Jim Jackson,48,26.6,9.9,3.5,7.9,44.7,1.2,2.9,42,1.6,1.9,82.8,0.9,3.1,4,1.4,0.6,0.3,1.2,52.4,56.5
628,Ron Anderson,27,23,9.9,3.9,8.9,44.4,0.1,0.4,36.4,1.9,2,92.6,0.9,2,3,1.7,0.4,0.1,1.1,45.2,50.6
629,Paul Seymour,66,34.4,9.8,3.2,9.6,32.9,-,-,-,3.5,4.3,82.4,-,-,3,3.9,-,-,-,32.9,42.9
630,Bob Leonard,34,27.2,9.8,3.8,10.7,35.7,-,-,-,2.2,2.9,75.5,-,-,2.6,4.9,-,-,-,35.7,41
631,Terry Rozier,50,24.7,9.8,3.4,8.6,39.3,1.5,4.6,33.5,1.5,1.9,80.9,0.5,3.5,4,3.3,0.8,0.3,0.9,48.3,52.1
632,Willie Jones,16,17.9,9.8,4.1,9.9,41.8,-,-,-,1.6,1.8,86.2,-,-,2.3,2.7,-,-,-,41.8,46
633,Jason Kapono,10,23.1,9.8,3.9,7,55.7,1.5,2.8,53.6,0.5,0.6,83.3,0.2,1.6,1.8,0.6,0.4,0,0.3,66.4,67.5
633,Maurice Taylor,5,23,9.8,3.6,7.6,47.4,0,0,0,2.6,3.4,76.5,1,2.2,3.2,1,0,0.2,1.4,47.4,53.9
635,Dario Saric,24,19.8,9.8,3.3,7.7,43.2,1.2,2.9,40,2,2.3,87,1.7,2.8,4.5,2,0.5,0.2,0.9,50.8,56.3
636,Mo Williams,62,24.4,9.8,3.5,8.7,40.9,1.2,3.6,33,1.5,1.9,80.9,0.2,1.5,1.8,2.6,0.5,0.1,1.5,47.8,51.6
637,Cedric Ceballos,59,20.6,9.8,3.8,8.2,46.6,0.4,1.4,32.5,1.7,2.3,74.3,1.5,3,4.5,1.1,0.7,0.4,1.1,49.3,53.1
638,Joe Ingles,45,31.2,9.8,3.4,7.8,43.9,2.1,5.4,39.2,0.7,1,73.3,0.3,3.5,3.8,3.8,1.1,0.2,1.4,57.5,58.9
639,Jeff Green,81,27.1,9.8,3.3,8,41.3,1.1,3,37.2,2,2.6,77.5,0.6,3,3.6,1.4,0.5,0.5,1.1,48.2,53.2
640,Joseph Reiser,16,-,9.8,3.1,11.9,25.7,-,-,-,3.6,4.6,79.5,-,-,-,1.3,-,-,-,25.7,35
641,Thaddeus Young,54,27.9,9.7,4.2,8.9,46.8,0.2,0.8,26.2,1.2,1.9,61.9,2.5,3.3,5.8,1.5,1.1,0.4,1.2,47.9,49.9
642,John Johnson,73,27.4,9.7,4,9,45,0,0,0,1.7,2.4,69.9,1.8,3.1,4.9,3.8,0.6,0.2,3,45,48.6
643,Lucious Jackson,56,30.2,9.7,3.9,9.9,38.9,-,-,-,2,2.7,74.3,-,-,9.1,1.6,-,-,-,38.9,43.8
644,Richard Dumas,26,19.4,9.7,4.2,8,51.9,0,0.1,0,1.4,1.9,75.5,1.4,1.1,2.5,0.9,0.8,0.5,1.1,51.9,55.1
645,Joe Graboski,40,25.8,9.7,3.9,11.8,33.2,-,-,-,1.9,2.5,73.5,-,-,7.1,1.8,-,-,-,33.2,37.6
646,Hedo Turkoglu,109,27.4,9.7,3.5,8.6,40.3,0.9,2.7,34.1,1.9,2.5,75.1,0.6,3.2,3.8,2.6,0.7,0.3,1.7,45.6,50.1
647,Antonio Davis,93,28.5,9.7,3.3,7,47.8,0,0,100,3,4.5,67.4,2.5,4.9,7.4,0.9,0.6,1.1,1.5,47.9,54.2
648,John Long,23,23.2,9.7,3.8,9.5,39.9,0.1,0.5,18.2,2,2.1,95.9,0.8,0.7,1.5,1,1.2,0.1,1.2,40.4,46.5
649,Robert Covington,28,31.7,9.7,3.3,7.6,43,2.1,4.9,43.5,1,1.2,81.8,1,4.7,5.7,1.7,1.8,1,1.1,57,59.3
650,Saul Mariaschin,3,-,9.7,3.3,14,23.8,-,-,-,3,4.7,64.3,-,-,-,0.3,-,-,-,23.8,30.1
651,Jay Humphries,41,26.9,9.7,3.7,7.9,46.7,0.4,1.4,26.8,1.9,2.5,78.2,0.6,1.6,2.3,4.6,0.8,0.1,1.4,49.1,53.9
652,Jack McMahon,49,31,9.7,3.9,10.3,37.8,-,-,-,1.9,3.3,55.8,-,-,3,4.1,-,-,-,37.8,41
653,Kenny Thomas,23,30,9.7,3.9,7.4,52.9,0,0,0,1.8,2.7,67.7,3.1,4.9,8,1.3,0.7,0.3,1.6,52.9,56.3
654,Marvin Webster,48,28.8,9.6,3.7,7.6,48.5,0,0,0,2.3,3.5,64.7,3.1,5.7,8.8,1.4,0.3,2,2,48.5,52.7
655,DeAndre Jordan,58,30.7,9.6,3.5,5.3,66.2,0,0,0,2.7,6.6,40.4,3.1,8,11.1,0.8,0.8,2,1.4,66.2,59
656,Andre Iguodala,172,30.4,9.6,3.5,7.7,45.8,1.1,3,35.4,1.6,2.7,58.3,1,3.5,4.5,3.6,1.3,0.5,1.4,52.7,54.5
657,Domantas Sabonis,13,20.6,9.6,3.7,7.2,51.1,0.2,0.9,16.7,2.1,2.8,75,1.6,3.2,4.8,1.6,0.4,0.3,0.9,52.1,56.9
658,Kenny Anderson,36,27.9,9.6,3.7,9,40.6,0.2,0.8,27.6,2.1,2.6,79.6,0.5,1.9,2.4,3.8,1.2,0,1.6,41.8,47.3
659,Nicolas Batum,58,29.7,9.6,3.5,7.9,44.1,1.5,4.2,35.2,1.2,1.4,80.7,0.7,4.1,4.9,2.4,0.9,0.4,1.2,53.5,56.3
660,Brandon Clarke,5,17.4,9.6,3.6,5.2,69.2,0,0.2,0,2.4,3.2,75,1.6,3.2,4.8,0.8,0.8,0.4,0.2,69.2,72.6
661,Arnie Johnson,29,28.1,9.6,2.7,6.9,38.3,-,-,-,4.3,5.7,75.2,-,-,7.6,2.8,-,-,-,38.3,50.8
662,Tom Gugliotta,12,27.9,9.6,3.8,9.8,39.3,0.3,0.3,75,1.7,2.4,69,1,3.8,4.8,2.2,1.6,0.5,1.6,40.6,44.3
663,Curtis Perry,52,29.7,9.6,4.1,8.7,47,-,-,-,1.4,2.1,66.1,2.8,3.7,8.4,1.4,0.6,0.5,-,47,49.7
664,Nikola Mirotic,40,23.6,9.6,3.3,8.4,38.8,1.5,4.8,31.8,1.6,1.9,80.5,0.9,4.2,5.2,1.1,0.8,0.6,0.9,47.9,51.9
665,Andrew Bynum,74,24.2,9.5,3.7,7.4,50.2,0,0,0,2.1,2.9,72,2.5,4.3,6.7,0.6,0.3,1.5,1.1,50.2,54.8
666,John Bagley,19,28.7,9.5,3.8,8.7,43.4,0.1,0.4,12.5,1.9,2.7,70.6,0.6,1.8,2.5,7.5,1.2,0.1,3.2,43.7,48
667,Doug Christie,58,32.7,9.5,3.1,8.1,38.2,0.8,2.6,30.2,2.6,3.1,83.2,1,3.9,4.9,3.8,1.6,0.5,2,43.1,50.5
668,Keith Van Horn,57,25.7,9.5,3.4,8.8,38.8,1.1,2.8,39.1,1.6,2,79.5,1.3,3.8,5.1,1.1,0.6,0.3,1.4,45.1,49.2
669,Mike Bloom,4,-,9.5,2.8,0,0,-,-,-,4,5.3,76.2,-,-,-,0,-,-,-,0,205.6
669,Darren Collison,40,23.3,9.5,3.5,8,43.6,0.5,1.6,33.3,2,2.4,83.5,0.6,1.6,2.2,3.3,0.8,0.1,1.3,46.9,52.5
669,Chris Douglas-Roberts,4,17.5,9.5,2.8,4,68.8,1,2,50,3,3.5,85.7,0.5,1.5,2,0.5,0,0,1,81.3,85.7
669,Herbert Jones,2,36,9.5,3.5,8,43.8,1.5,2.5,60,1,2,50,1.5,0.5,2,1.5,1,0,1,53.1,53.5
669,Otto Porter Jr.,34,29.2,9.5,3.6,7.6,47.9,0.9,2.8,30.9,1.4,1.9,71.9,1.2,4.7,6,1.7,1.2,0.5,0.6,53.5,56.2
669,Lionel Simmons,4,19.3,9.5,3.8,8.3,45.5,0.8,2.3,33.3,1.3,1.8,71.4,1,2,3,2,1.5,0.5,1.5,50,52.7
669,Rob Williams,12,23.6,9.5,3.8,8.4,44.6,0.6,1.3,43.8,1.4,1.6,89.5,0.6,2.1,2.7,5.1,0.9,0.2,2.3,48,52.1
676,Brad Miller,50,26.5,9.5,3.5,7.2,47.8,0.1,0.5,25.9,2.4,3.3,74.2,1.8,4.4,6.2,2.1,0.6,0.6,1.8,48.8,54.6
677,Terry Catledge,19,22.9,9.5,3.8,8.9,43.2,0,0.1,0,1.8,3.1,57.6,2.4,3.2,5.6,0.4,0.5,0.5,1.2,43.2,46.2
678,Anthony Mason,96,32.2,9.5,3.5,6.6,52.4,0,0,0,2.5,3.8,66.8,2.3,4.3,6.6,2.2,0.6,0.3,1.8,52.4,57.1
679,Aaron McKie,75,28.5,9.5,3.6,8.2,43.7,0.7,1.9,38.5,1.6,1.9,80.1,0.6,3,3.6,3.2,1.1,0.1,1.3,48.2,52.3
680,Si Green,41,27.1,9.5,3.8,8.8,43.3,-,-,-,1.9,3,61.3,-,-,5.4,4,-,-,-,43.3,46.8
681,Jabari Parker,11,20.5,9.5,3.7,7.5,49.4,0.7,2.2,33.3,1.3,1.9,66.7,0.9,4.4,5.3,1.1,0.6,0.6,1.1,54.2,56.4
681,Stan Stutz,11,-,9.5,2.9,10.6,27.4,-,-,-,3.6,4.5,81.6,-,-,-,0.7,-,-,-,27.4,37.5
683,Sam Lacey,29,37,9.4,3.7,9.2,40.1,0,0.1,25,2,2.6,77.6,2.3,7.6,9.9,5,1.9,1.5,2.9,40.3,45.6
684,Will Bynum,7,15.6,9.4,3.6,7.6,47.2,0.3,0.9,33.3,2,2.1,93.3,0.4,0.9,1.3,1.9,1,0.1,1.9,49.1,55.4
685,Jerome James,17,21.7,9.4,3.9,8,49.3,0,0,0,1.5,2.1,72.2,2.2,3,5.2,0.5,0.4,1.5,1.1,49.3,52.7
686,Michael Cooper,168,28.2,9.4,3.5,7.4,46.8,0.7,1.9,39.2,1.7,2.1,82.5,0.9,2.5,3.4,4.2,1.2,0.6,1.5,51.8,56.5
687,Raymond Felton,47,25.7,9.4,3.7,8.8,42,0.7,2.3,32.1,1.3,1.8,71.1,0.6,1.9,2.5,3.1,1,0.2,1.2,46.1,48.9
688,Bill Closs,11,21,9.4,3.3,11.2,29.3,-,-,-,2.8,3.5,81.6,-,-,5.3,2.1,-,-,-,29.3,36.9
689,Joakim Noah,62,33.9,9.3,3.7,7.9,46.5,0,0,0,2,2.9,67.6,3.8,6.8,10.6,2.7,0.9,1.7,1.7,46.5,50.8
690,Terry Dischinger,6,25.7,9.3,3.5,9.3,37.5,-,-,-,2.3,3.2,73.7,-,-,4.8,1.5,-,-,-,37.5,43.5
690,Chris Gatling,15,19.7,9.3,3.4,6.9,49,0,0,0,2.5,4.1,62.3,2.2,3.1,5.3,0.5,0.6,0.9,1.1,49,53.5
690,Bill Hewitt,15,27.5,9.3,4.1,10.1,40.4,-,-,-,1.2,1.9,62.1,-,-,5.2,1.1,-,-,-,40.4,42.7
690,Taurean Prince,9,24.7,9.3,3.9,7.4,52.2,0.8,2.3,33.3,0.8,0.9,87.5,0.8,3.3,4.1,1.1,0.4,0.2,1.1,57.5,59.6
690,Charles Smith,66,24.5,9.3,3.7,7.8,48.1,0,0.1,0,1.8,2.6,70.5,1.5,2.4,4,1.2,0.7,1.2,1.6,48.1,52.2
695,Noble Jorgensen,19,21.6,9.3,3.1,7.8,39.9,-,-,-,3.1,4.7,66.3,-,-,3.6,1.2,-,-,-,39.9,47.3
696,Howard Porter,36,18.4,9.3,4.2,9.1,45.9,-,-,-,0.9,1.1,84.6,2,2.8,4.2,0.5,0.7,0.6,-,45.9,48.4
697,Willie Anderson,52,21.9,9.3,3.8,8.2,46.4,0.3,0.8,33.3,1.4,1.8,78.5,0.7,2.1,2.7,2.4,0.8,0.2,1.6,48,51.6
698,Lee Knorek,14,-,9.3,3.6,9.2,38.8,-,-,-,2.1,3.4,62.5,-,-,-,1.6,-,-,-,38.8,43.3
699,James Edwards,111,19.9,9.3,3.6,7.7,46.8,0,0,0,2.1,3.1,68.2,1,2.2,3.2,0.8,0.2,0.4,1.1,46.8,51.4
700,Bob Wilkerson,22,30.9,9.3,3.9,10,39.1,0,0,0,1.5,2.3,64,1.5,3.6,5.1,4.9,1.2,0.3,1.9,39.1,42.1
701,John Salmons,28,24.8,9.3,3.3,8.4,39.3,0.6,2.6,24.3,2,2.3,87.7,0.5,1.9,2.4,1.8,0.8,0.4,1,43.2,49.3
702,Montrezl Harrell,30,15.8,9.2,3.4,5.5,62.4,0,0.2,14.3,2.3,3.7,63.1,1,2,3,0.7,0.3,0.4,0.8,62.7,64.8
703,Joe Holland,9,-,9.2,4.2,4,105.6,-,-,-,0.8,2.1,36.8,-,-,4,1.2,-,-,-,105.6,93.6
704,Boris Diaw,119,26.4,9.2,3.8,7.5,50.4,0.4,1.2,33.6,1.3,1.7,73.6,1.2,3.2,4.4,3.2,0.6,0.4,1.5,53.1,55.9
705,Kevin Kunnert,23,26.7,9.2,4,8.5,46.7,0,0,0,1.3,2.3,56.6,2.7,5,7.7,1.2,0.3,0.9,1,46.7,48.6
706,Winston Garland,20,25.8,9.2,3.5,8.6,41.3,0.1,0.2,25,2,2.3,91.1,1,2.3,3.3,3,1.4,0.1,1.9,41.6,48
707,Nene,91,24.2,9.2,3.6,6.8,53,0,0,0,2,3.4,59.5,1.8,3.6,5.4,1.6,0.8,0.5,1.4,53,55.7
708,Bobby Jackson,58,21.7,9.2,3.4,8.4,40.5,0.7,2.7,27,1.7,2.1,80.7,0.6,2.2,2.8,2.1,0.7,0.1,1.1,45,49.5
709,Shareef Abdur-Rahim,6,21.5,9.2,3.8,7.2,53.5,0,0.5,0,1.5,2.5,60,1.3,3.5,4.8,1.2,0.3,0,2.2,53.5,55.4
710,Frank Brian,43,21.9,9.2,3.1,9,34.7,-,-,-,2.9,3.6,81.8,-,-,1.7,2.2,-,-,-,34.7,43.4
711,Kyle Kuzma,27,22.7,9.1,3.4,8.4,40.1,1.1,3.9,28.3,1.3,1.7,76.1,0.8,2.4,3.3,0.9,0.3,0.3,1,46.7,50
712,Kevin Edwards,7,29,9.1,3.3,9,36.5,0,0.3,0,2.6,3.1,81.8,1.3,2,3.3,2.3,1,0.1,2,36.5,44
713,Kyle Macy,44,28.6,9.1,3.8,8.3,46.6,0.5,1.2,37.7,1,1.2,83,0.8,1.8,2.5,3.9,1,0.1,1.3,49.3,52
714,Sidney Hertzberg,18,-,9.1,3.2,10.8,29.4,-,-,-,2.8,3.3,83.3,-,-,1,1.9,-,-,-,29.4,37.2
714,Ariel Maughan,9,-,9.1,3.6,14.2,25,-,-,-,2,2.9,69.2,-,-,-,0.4,-,-,-,25,29.4
716,Maurice Harkless,33,24.6,9.1,3.5,8.1,43.6,0.8,2.7,28.9,1.3,2.1,60.9,1.8,2.8,4.7,1.1,1,0.8,0.9,48.5,50.6
717,Dikembe Mutombo,101,30.9,9.1,3,5.8,51.7,0,0,0,3.1,4.4,70.3,2.9,6.6,9.5,0.8,0.4,2.5,1.5,51.7,58.7
718,Terrence Jones,25,23,9.1,3.6,8.3,43.8,0.1,0.9,13.6,1.7,2.8,60.9,2,3.3,5.3,1,0.5,0.6,0.8,44.5,47.6
719,Eldo Garrett,26,24.7,9.1,4,7.9,50.2,-,-,-,1.2,1.4,83.3,0.1,0.3,2.1,1.8,0.3,0,-,50.2,53.4
720,Mike Evans,58,18.5,9.1,3.5,8.4,41.4,0.8,2.7,28.4,1.4,1.7,82.5,0.3,1.5,1.8,2.8,0.7,0.1,1.7,46,49.8
720,Delonte West,58,29.1,9.1,3.3,7.4,44.2,0.8,2.3,36.1,1.7,2,84.7,0.5,2,2.5,2.8,1,0.3,1.8,49.8,54.8
722,Phil Ford,15,27.7,9.1,3.3,9.1,36.5,0.2,0.3,60,2.2,3.1,71.7,0.2,1.5,1.7,5.7,1.5,0,2.9,37.6,43.2
723,Nick Weatherspoon,31,23.1,9.1,3.7,7.6,48.9,-,-,-,1.6,2.4,69.9,1.5,3.4,4.8,0.8,0.6,0.3,-,48.9,52.6
724,Devin Harris,64,23.7,9.1,3.4,7.5,45,0.5,1.8,25.7,1.9,2.6,70.8,0.3,1.6,1.9,2.6,0.8,0.2,1.6,48,52.4
725,Malik Beasley,17,21.1,9.1,3,7.4,40.8,1.5,3.9,39.4,1.5,2.1,72.2,0.8,2.7,3.5,1,0.3,0.1,0.6,51.2,54.7
726,Mark Jackson,131,28.8,9,3.3,7.7,43.2,0.7,2.1,34.5,1.6,2.1,77.7,0.9,2.8,3.6,6.9,1,0.1,2.2,48,52.3
727,Ron Harper,112,26.8,9,3.5,7.9,45,0.5,1.7,29.2,1.4,2.1,69.8,1.1,2.6,3.7,2.7,1.3,0.7,1.1,48.2,51.4
728,Monte Morris,46,21.9,9,3.5,7.9,44.6,0.7,2.3,30.2,1.3,1.7,75,0.3,1.4,1.7,3.4,0.7,0.1,0.6,49,52.2
729,Reggie Williams,24,22.4,9,3.3,8.8,37.3,1,2.7,36.9,1.5,1.8,81.4,1.2,2.5,3.7,2.4,0.6,0.5,1.5,42.9,47
730,Butch Beard,32,23.6,9,3.6,8.1,44.4,-,-,-,1.8,2.8,66.3,1.3,2.7,3.7,2.8,1.5,0.2,1.8,44.4,48.5
731,Courtney Lee,50,28.7,9,3.4,7.4,45.7,0.7,2.1,34.6,1.5,1.7,89.5,0.3,1.7,2.1,1.4,0.9,0.2,0.9,50.5,55.3
732,Rafer Alston,56,26.7,9,3.2,8.9,36.5,1.3,4.3,31.1,1.2,1.6,76.4,0.3,2.2,2.5,3.1,1,0.1,1.4,44.1,47.2
733,Gale Bishop,2,-,9,3.5,13,26.9,-,-,-,2,4,50,-,-,-,1,-,-,-,26.9,30.5
733,Bones Hyland,3,16.3,9,2.7,6.3,42.1,1.7,3.7,45.5,2,2,100,0,1,1,2.3,0,0,0.7,55.3,62.4
733,Chris Mills,19,27.6,9,3.4,7.5,45.5,0.8,1.8,47.1,1.3,1.5,86.2,1.3,3,4.3,1.5,1.1,0.4,1.1,51,54.9
733,Tracy Murray,7,14.7,9,3,5.6,53.8,0.7,1.9,38.5,2.3,2.4,94.1,0.9,0.9,1.7,0.4,0.9,0.3,0.3,60.3,67.8
733,Travis Outlaw,6,28.3,9,3.5,11,31.8,0.7,2.7,25,1.3,2,66.7,0.3,2.7,3,0.5,0.8,0.7,0.8,34.8,37.9
733,Otto Schnellbacher,2,-,9,3,4,75,-,-,-,3,6,50,-,-,-,0,-,-,-,75,67.8
733,Terry Tyler,17,16,9,3.6,7.9,45.5,0,0.1,0,1.8,2.4,77.5,1.4,1.9,3.2,0.5,0.5,0.6,0.6,45.5,50.5
740,Nat Clifton,53,30.2,9,3.2,9.2,34.8,-,-,-,2.6,4.1,62.4,-,-,9.3,2.7,-,-,-,34.8,40.7
741,Muggsy Bogues,19,33.6,8.9,3.7,8.8,41.9,0.5,1.1,47.6,1.1,1.4,76.9,0.7,2,2.7,5.6,1.7,0,1.9,44.9,47.6
742,Jim Chones,36,26.6,8.9,3.8,8.7,43.6,0,0,0,1.4,2.2,64.1,1.9,4.3,6.2,1.3,0.4,0.6,1.5,43.6,46.5
743,Ernie Grunfeld,42,22.5,8.9,3.5,7.1,48.8,0,0.1,50,1.9,2.3,82.7,0.5,1.7,2.2,2.9,1,0.3,1.5,49.2,54.8
744,Brandon Jennings,25,22.6,8.9,3.2,8.6,37.2,0.8,3.4,23.8,1.7,2.2,79.6,0.4,1.5,2,2.6,0.8,0.2,1.1,41.9,46.7
745,Andrea Bargnani,11,25.9,8.9,3.2,7.7,41.2,1,3,33.3,1.5,1.9,81,0.4,2.5,2.8,0.7,0.8,0.5,0.8,47.6,52
746,Charles Vaughn,27,23.4,8.9,3.6,8.4,43.4,-,-,-,1.6,2.3,72.1,-,-,2.3,2.3,-,-,-,43.4,47.5
747,Armen Gilliam,34,20.4,8.9,3.3,7.4,44.4,0,0,0,2.4,3,78.4,1.1,3.4,4.6,0.5,0.4,0.6,1.2,44.4,51.2
748,Grant Long,42,28.1,8.9,3.1,7.6,41.1,0.2,0.8,20,2.4,3.2,75.6,2.3,3.5,5.8,1.4,1,0.2,1.6,42.2,49
749,DeMarre Carroll,64,27.4,8.9,3.2,7.5,42.6,1.2,3.5,35.3,1.2,1.6,75.2,1.2,3.1,4.3,1.1,0.9,0.3,0.8,50.8,53.9
750,Bill Cartwright,124,28.2,8.9,3.4,7,48.2,0,0,0,2.1,3,72.5,1.7,3.7,5.4,1.3,0.4,0.5,1.5,48.2,53.5
751,Sly Williams,7,19.7,8.9,4.1,8.4,49.2,0.1,0.1,100,0.4,0.4,100,2,2.3,4.3,1.6,0.9,0.1,2.1,50,51.4
752,Mike Dunleavy,32,24,8.8,3,6.2,48,1.6,3.5,45.1,1.3,1.6,84,0.5,2.4,2.9,1.9,0.6,0.2,0.9,60.9,64.3
753,Jerryd Bayless,30,20.6,8.8,3,8.1,37.4,0.9,2.7,31.7,1.9,2.3,81.4,0.3,1.8,2.1,2.4,0.4,0.3,1,42.8,48.4
753,Walter Budko,6,19.3,8.8,2.8,6.7,42.5,-,-,-,3.2,4.3,73.1,-,-,4,1.5,-,-,-,42.5,51.5
755,Rickey Green,55,23.2,8.8,3.5,7.7,45.5,0.1,0.4,35,1.7,2,84.7,0.4,1.5,1.9,5.3,0.9,0.1,1.5,46.3,51.5
756,Drew Gooden,64,23.7,8.8,3.6,7.9,44.9,0.2,0.6,32.4,1.5,1.9,79.3,2.3,4.9,7.2,0.7,0.3,0.5,1.2,46.1,50.2
757,Mario Chalmers,99,29.1,8.8,3.1,7.2,42.9,1.2,3.3,35.7,1.4,1.9,74.2,0.4,2.2,2.5,3.2,1.2,0.2,1.7,51,54.5
758,Rudy Macklin,5,21.6,8.8,3,6.4,46.9,0,0.2,0,2.8,3.2,87.5,1.4,2.2,3.6,0.6,0.4,0.4,1.4,46.9,56.4
759,John Mengelt,19,15.3,8.8,3.3,6.3,52.1,-,-,-,2.3,2.9,78.2,0.3,1.4,1.7,1.7,0.6,0.1,-,52.1,58.3
760,Jim Washington,42,26.3,8.8,3.6,8.1,44.4,-,-,-,1.6,2.7,59.8,0.5,0.7,7.1,1.4,0,0,-,44.4,47.4
761,Thomas Sanders,130,23.4,8.8,3.6,8.2,43.6,-,-,-,1.6,2.3,71.6,-,-,5.8,1,-,-,-,43.6,47.7
762,Bob Houbregs,23,20.3,8.8,2.9,6.9,42.4,-,-,-,3,4,73.9,-,-,5.9,1.6,-,-,-,42.4,50.9
763,Tom Henderson,80,29.6,8.8,3.4,8.1,41.5,0,0,0,2,2.7,75.2,0.8,1.5,2.3,5.4,1,0.2,1.7,41.5,47.1
764,Joe Harris,25,26.8,8.8,3.2,7.8,40.5,1.8,4.7,38.1,0.6,0.8,80,0.5,2.9,3.4,1,0.3,0.1,0.9,52.1,53.7
765,Vinny Del Negro,54,25.3,8.8,3.6,7.9,45.4,0.6,1.3,43.1,1,1.3,81.2,0.3,1.9,2.2,2.8,0.6,0.1,0.9,49.1,51.9
