#,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,eFG%,TS%
419,Bob Gross,25,27.8,12.3,4.9,8.4,58.4,0,0,0,2.5,3,85.1,2.2,2.8,5,3.6,1.4,0.7,1.3,58.4,63.5
420,Johnny Kerr,76,29.9,12.3,4.9,12.6,38.6,-,-,-,2.5,3.7,68.7,-,-,10.9,2,-,-,-,38.6,43.1
421,Aaron Gordon,18,30.5,12.2,4.7,10.7,44,1.1,2.8,37.3,1.7,2.8,60.8,2.4,3.8,6.2,2.5,0.6,0.3,1.7,49,51.1
422,Ricky Davis,11,33,12.2,4.4,10.4,42.1,0.6,1.7,36.8,2.8,3.8,73.8,0.7,2.6,3.4,2.5,1,0.2,3,45.2,50.6
423,Avery Bradley,39,32.1,12.2,4.8,11.5,42,1.4,4.4,31.2,1.2,1.5,78,0.7,2.4,3.1,1.6,1.2,0.3,1.4,47.9,50.1
424,Paul Millsap,129,27.5,12.2,4.4,9.6,45.7,0.5,1.8,28.6,2.9,4,72.6,2.2,4.6,6.8,1.7,0.9,1.1,1.6,48.4,53.7
425,Sam Cassell,136,26,12.2,4.2,10,41.4,0.9,2.4,36.3,3,3.6,84.7,0.4,2.1,2.6,4.4,0.8,0.1,2,45.7,52.5
426,Malcolm Brogdon,24,30.3,12.2,4.5,10.5,42.3,1.6,4.2,37.6,1.7,2,81.6,0.5,3.7,4.2,4.3,0.5,0.1,1.8,49.8,53.2
427,Red Rocha,39,32,12.2,4.2,11.7,36,-,-,-,3.7,4.9,75.8,-,-,6.6,1.5,-,-,-,36,43.8
427,Mike Woodson,13,26.8,12.2,4.5,11.4,39.9,0.2,1,23.1,2.8,3.2,90.2,1.3,1,2.3,2.6,0.8,0.3,1.8,40.9,47.6
429,Flynn Robinson,27,23.2,12.1,4.8,11.8,40.6,-,-,-,2.6,3.3,79.5,-,-,2,2.8,-,-,-,40.6,46
430,Andre Drummond,15,26.9,12.1,5.1,9.9,51.4,0,0.1,0,2,4.7,42.9,3.5,6.5,10.1,0.7,1.1,1.1,2,51.4,50.9
431,Vlade Divac,121,30.8,12.1,4.5,9.3,48,0.1,0.4,24.1,3.1,4.2,73.1,2.5,5,7.5,2.4,1,1.4,2.1,48.5,54.3
432,Stan Miasek,8,-,12.1,4.5,12,37.5,-,-,-,3.1,5.3,59.5,-,-,-,0.5,-,-,-,37.5,42.4
433,Arvydas Sabonis,51,28.8,12.1,4.4,9.6,45.2,0.3,0.9,31.9,3.1,3.9,80.2,1.4,6,7.4,1.9,0.9,0.9,1.6,46.7,53.4
434,David Wesley,55,35.2,12.1,4.3,10.9,39.8,1.4,3.5,40.8,2,2.5,79.6,0.4,1.8,2.2,3.7,1.1,0.1,1.9,46.3,50.3
435,Johnny Dawkins,13,33.8,12.1,4.5,10.6,42.8,0,0.7,0,3,3.6,83,0.5,1.5,1.9,7.5,1.5,0.2,2.3,42.8,49.5
436,Darnell Valentine,26,27.2,12,4.4,9.5,46,0,0.1,50,3.2,3.7,88.4,0.7,1.3,1.9,6.8,1.5,0.2,2.2,46.2,54
437,Jack Burmaster,3,-,12,5.3,10.3,51.6,-,-,-,1.3,1.3,100,-,-,-,2.7,-,-,-,51.6,54.9
437,Harry Gallatin,64,31.2,12,3.8,9.7,39,-,-,-,4.4,5.8,76.1,-,-,11.2,1.6,-,-,-,39,49
437,De'Andre Hunter,7,31.7,12,4.3,9.7,44.1,1.3,3.3,39.1,2.1,2.7,78.9,0.3,3.3,3.6,0.4,0.3,0.6,1.3,50.7,55
437,Richie Regan,2,31.5,12,6,13,46.2,-,-,-,0,0.5,0,-,-,4.5,1.5,-,-,-,46.2,45.4
437,Lonnie Shelton,52,31,12,5.2,10.6,48.5,0,0.1,0,1.7,2.5,66.7,3,4.9,7.9,1.9,1,0.8,2.1,48.5,51.1
437,Phil Smith,49,24.7,12,4.8,10.6,45.3,0,0,0,2.4,3.4,71.9,0.9,2.2,3.1,2.9,1,0.4,0.6,45.3,49.8
437,Maurice Stokes,1,39,12,3,12,25,-,-,-,6,7,85.7,-,-,15,2,-,-,-,25,39.8
437,Al Wood,5,31.4,12,5.2,11.2,46.4,0,0.2,0,1.6,2.4,66.7,1.4,5.4,6.8,2,0.2,0.2,1.4,46.4,49
445,Bill Laimbeer,113,33.1,12,4.9,10.4,46.8,0.4,1.2,32.1,1.9,2.3,81.9,2.3,7.4,9.7,1.7,0.7,0.7,1.3,48.6,52.6
446,Ty Lawson,36,25.9,12,4.4,9.7,45.8,0.8,2.3,33.3,2.3,2.9,79.2,0.6,1.7,2.3,4.2,0.9,0.1,1.2,49.7,54.5
447,Vinnie Johnson,116,23,12,5,11,45.3,0.1,0.5,27.4,1.8,2.4,75.4,1.4,1.7,3.1,2.6,0.6,0.2,1.2,46,49.5
